year,month,revenue
2019,7,1008750.89
2019,8,561053.55
2019,9,554395.75
2019,10,606615.9
2019,11,796866.88
2019,12,644486.2
2020,1,663722.45
2020,2,626825.37
2020,3,756942.93
2020,4,687285.26
2020,5,746562.22
2020,6,524737.19
2020,7,589681.99
2020,8,392699.52
2020,9,434426.7
2020,10,383544.04
2020,11,601858.27
2020,12,473974.62
2021,1,572562.32
2021,2,480076.45
2021,3,570757.78
2021,4,583948.18
2021,5,624986.85
2021,6,931800.13
2021,7,915209.18
2021,8,1116932.24
2021,9,1141037.88
2021,10,1360839.56
2021,11,1802237.98
2021,12,1447468.09
